        Corr.   Lasso   Linear_reg      MIC     RF      RFE     Ridge   Stability       Mean
Var133  0.03    0.0     0.0     0.28    0.04    0.03    0.0     0.0     0.05
Var134  0.02    0.0     0.0     0.28    0.03    0.06    0.0     0.0     0.05
Var135  0.02    0.0     0.0     0.05    0.0     0.42    0.0     0.0     0.06
Var136  0.01    0.0     0.0     0.03    0.0     0.23    0.0     0.0     0.03
Var137  0.01    0.0     0.0     0.0     0.0     0.43    0.0     0.0     0.06
Var138  0.0     0.0     0.07    0.0     0.0     0.97    0.05    0.0     0.14
Var139  0.01    0.0     0.0     0.04    0.0     0.04    0.0     0.0     0.01
Var140  0.01    0.0     0.0     0.19    0.04    0.05    0.0     0.0     0.04
Var142  0.0     0.0     0.0     0.0     0.0     0.6     0.06    0.0     0.08
Var143  0.0     0.0     0.0     0.0     0.0     0.9     0.03    0.0     0.12
Var144  0.01    0.02    0.0     0.01    0.01    0.53    0.01    0.0     0.07
Var145  0.0     0.0     0.0     0.02    0.0     0.8     0.02    0.0     0.11
Var146  0.0     0.0     0.0     0.0     0.0     0.84    0.0     0.0     0.1
Var147  0.0     0.0     0.01    0.0     0.0     0.86    0.01    0.0     0.11
Var148  0.0     0.0     0.0     0.02    0.0     0.72    0.02    0.0     0.1
Var149  0.0     0.0     0.0     0.3     0.02    0.01    0.0     0.0     0.04
Var150  0.0     0.0     0.0     0.03    0.0     0.22    0.0     0.0     0.03
Var151  0.0     0.0     0.0     0.0     0.0     0.56    0.02    0.0     0.07
Var152  0.01    0.0     0.02    0.0     0.0     0.95    0.03    0.0     0.13
Var153  0.08    0.0     0.0     0.3     0.03    0.03    0.0     0.0     0.05
Var154  0.01    0.0     0.0     0.02    0.0     0.12    0.0     0.0     0.02
Var155  0.0     0.0     0.03    0.0     0.0     0.95    0.03    0.0     0.13
Var156  0.0     0.0     0.0     0.02    0.0     0.67    0.0     0.0     0.09
Var157  0.0     0.0     0.0     0.02    0.0     0.83    0.02    0.0     0.11
Var158  0.0     0.0     0.0     0.0     0.0     0.44    0.03    0.0     0.06
Var159  0.0     0.0     0.0     0.0     0.0     1.0     0.02    0.0     0.13
Var160  0.0     0.0     0.0     0.12    0.02    0.66    0.0     0.0     0.1
Var161  0.0     0.0     0.01    0.0     0.0     0.94    0.01    0.0     0.12
Var162  0.01    0.0     0.0     0.03    0.0     0.01    0.0     0.0     0.01
Var163  0.0     0.0     0.0     0.31    0.02    0.0     0.0     0.0     0.04
Var164  0.0     0.0     0.0     0.01    0.0     0.79    0.07    0.0     0.11
Var165  0.0     0.0     0.0     0.01    0.0     0.28    0.0     0.0     0.04
Var166  0.0     0.0     0.0     0.01    0.0     0.8     0.01    0.0     0.1
Var168  0.03    0.0     0.0     0.04    0.0     0.39    0.0     0.0     0.06
Var170  0.02    0.0     0.0     0.01    0.0     0.76    0.01    0.0     0.1
Var171  0.0     0.0     0.0     0.03    0.0     0.18    0.0     0.0     0.03
